customer_id,age,region,income,monthly_minutes,monthly_data_gb,support_tickets,monthly_bill,outstanding_balance,churn
48,35,East,58393,498,14.22,4,80.19,382.31,0
49,21,North,52076,150,0.95,4,139.6,384.94,0
50,42,South,87609,2594,6.24,3,175.43,408.74,1
51,31,West,59317,2974,11.38,6,128.52,420.58,0
52,67,East,88480,694,18.56,7,164.22,210.22,0
53,26,East,37044,917,2.49,4,100.46,433.77,0
54,43,North,85486,735,12.22,8,130.38,262.97,0
55,19,South,85162,1172,6.39,6,39.46,235.3,0
56,37,West,59882,1752,17.84,6,197.58,359.27,1
57,45,East,84078,1241,15.42,7,166,106.91,0
58,64,West,88734,1576,7.71,3,177.7,394.75,0
59,24,South,73826,874,3.76,9,148.03,214.73,1
60,61,East,74028,2070,0.72,5,61.63,63.65,0
61,25,North,81331,1764,12.61,4,35.27,59.66,1
62,64,East,62543,496,8.42,0,176.99,82.45,1
63,52,South,59362,2830,6.64,8,97.38,445.29,0
64,31,South,57315,2858,19.72,1,74.86,495.47,0
65,34,East,57746,1495,9.59,5,125.48,178.49,1
66,53,West,40057,1220,15.12,7,101.55,146.07,0
67,67,North,72915,628,3.96,2,140.78,109.39,0
68,57,West,51061,784,0.76,4,112.24,411.91,0
69,21,North,81370,2760R,8.64,6,148.53,104.6,0
70,19,South,64157,2333,13.48,3,175.08,462.05,1
71,23,North,41322,2843,10.38,4,63.24,333.68,1
72,59,South,99812,2362,17.86,0,86,448.56,1
73,21,East,64017,2363,8.96,3,104.26,277,1
74,46,North,86792,2176,6.56,6,193.55,345.34,0
75,35,South,57742,201,18.36,9,92.11,309.73,0
76,43,West,94808,222,8.43,6,94.79,415.6,0
77,61,North,47629,2201,5.76,9,141.09,417.93,0
78,51,West,38245,1406,2.4,9,101.26,294.9,1
79,27,South,73870,1737,15.97,3,191.71,316.25,0
80,53,East,94829,1240,16.59,5,182.06,460.94,1
81,31,North,40588,715,1.15,4,117.28,464.93,0
82,48,North,30442,656,7.49,0,139.61,332.12,1
83,65,North,70721,213,15.12,7,39.87,3.88,0
84,32,North,67145,1666,18.95,6,148.27,52.21,0
85,25,North,40599,2823,7.87,4,150.22,428.97,0
86,31,East,32939,1076,17.51,9,91.06,42.36,0
87,40,West,52149,800,8.18,9,67.35,106.76,0
88,57,West,96567,1416,4,6,185.56,115.27,1
89,38,East,40208,2439,0.57,9,102.54,300.12,0
90,33,North,96098,360,6.94,2,141.13,288.32,0
91,62,North,79492,2711,7.88,7,35.67,144.71,0
92,35,South,50951,2196,18.93,4,100.39,103.81,0
93,64,North,78920,1129,4.52,1,168.93,382.27,0
94,41,East,76766,478,7.95,1,95.89,467.73,0
95,43,East,87014,2009,0.99,3,132.54,26.4,0
96,42,South,58351,2371,15.39,6,65.68,66.59,1
97,62,South,79386,1146,18.35,9,100.81,321.08,0
98,58,West,39308,1107,5.14,3,187.7,402.22,0
99,46,West,89252,2804,8.87,8,126.3,395.59,0
100,32,South,58064,209,2.88,1,183.33,359.84,0
101,62,West,83879,2871,9.41,5,183.34,443.71,1
102,18,West,38720,2700,3.1,3,190.51,108.67,0
103,42,South,72940,1522,10.71,5,182.22,53.65,0
104,24,South,98475,1105,14.83,9,30.56,307.68,0
105,26,East,77113,797,11.29,8,188.78,411.14,1
106,41,West,78926,2873,5.28,9,53.37,291.02,0
107,18,West,68203,405,7.4,8,36.79,481.5,0
108,61,North,35392,1705,12.95,8,39.42,397.78,0
109,25,South,55905,1831,12,8,89.32,350.4,0
110,41,East,80385,1058,3.17,2,135.54,30.13,0
111,28,East,60653,1053,16.98,8,98.39,53.87,1
112,68,North,44799,1274,9.77,2,34.34,392.42,0
113,34,West,90103,2768,3.67,9,111,99.12,1
114,25,East,45052,2777,2.9,2,105.16,14.42,0
115,52,West,36044,1730,19.33,4,158.66,455.38,0
116,52,West,49871,1891,5.99,5,77.53,445.4,1
117,50,East,50234,2703,18.22,8,66.98,109.24,0
118,22,South,51381,2071,8.51,0,73.51,390.1,0
119,59,East,47274,166,8.03,7,81.64,23.99,1
120,56,North,79892,1279,14.17,3,131.86,142.53,1
121,58,East,80521,934,0.69,9,110.16,311.83,1
122,45,North,47920,305,7.09,6,87.27,381.59,1
123,24,East,46702,2933,6.4,5,93.63,5.2,0
124,26,North,31894,254,17.43,5,93.06,163.1,0
125,25,North,60985,1814,10.82,6,195.31,107.17,0
126,29,North,58287,1632,7.61,3,69.61,499.39,1
127,51,North,45439,1695,5.69,5,169.07,335.49,0
128,50,East,72235,2145,12.01,2,150.4,202.84,0
129,65,East,57659,2930,3.46,4,30.95,37.83,0
130,40,East,54976,1590,5.3,1,198.84,299.34,0
131,41,North,97865,2732,6.23,2,158.59,320.85,0
132,54,North,98306,807,12.35,8,146.02,408.2,0
133,52,North,86697,2034,7.78,5,98.91,144.29,0
134,61,North,46651,278,10.36,2,124.38,490.71,0
135,57,West,79044,1171,13.18,1,73.06,219.73,0
136,39,North,44633,1195,19.15,4,36.03,147.97,0
137,44,South,30569,212,15.41,9,172.12,174.22,0
138,52,North,89900,856,8.4,4,182.4,259.79,0
139,18,North,97509,996,15.09,0,57.62,468.35,0
140,52,East,63038,2026,19.02,2,163.8,367.58,0
141,54,East,79088,2968,10.24,6,156,288.55,0
142,64,North,96793,258,8.5,8,60.32,81.41,0
143,31,North,68138,885,2.02,4,101.71,74.68,1
144,20,South,93310,1903,17.9,3,101.87,251.1,1
145,18,North,58757,1939,5.31,2,159.19,364.35,1
146,22,North,86151,2398,1.75,9,172.4,375.51,0
147,43,West,79272,1642,10.98,8,46.11,112.96,0
148,31,East,36908,212,17,6,125.7,50.05,0
149,56,East,40844,358,8.43,6,159.5,192.23,0
150,44,South,81455,2254,15.77,7,163.65,459.09,0
151,26,South,98447,674,16.81,9,55.16,272.68,0
152,32,East,73066,1481,9.36,0,119.34,160.05,0
153,32,East,70004,1906,12.02,3,175.78,161.82,0
154,43,East,68333,1322,10.91,4,84.15,66.04,0
155,59,North,69697,2574,18.81,4,102.27,236.61,1
156,30,East,47634,1601,14.65,0,166.74,395.68,0
157,68,South,54561,958,18.54,2,45.18,484.28,0
158,49,West,48033,1696,4.79,1,176.11,250.8,1
159,56,East,85063,1661,6.55,6,82.9,83.61,0
160,66,East,55921,2774,1.88,4,30.25,341.48,0
161,69,North,49340,2622,10.25,2,69.81,378.4,0
162,49,East,92781,2699,17.54,7,45.22,35.85,0
163,21,North,44901,2491,6.87,0,45.71,425.07,0
164,47,South,40638,2775,3,0,147.78,414.66,1
165,54,North,68596,2283,1.83,5,66.38,236.27,0
166,40,East,74324,376,9.23,0,188.91,280.21,1
167,56,North,62642,2112,3.7,3,117.8,356.7,0
168,62,South,55378,2178,7.25,5,108.22,338.37,0
169,32,West,80867,346,16.49,0,103.83,8.27,1
170,60,North,72875,510,7.99,8,147.74,61.22,0
171,46,East,94377,2174,12.39,3,106.88,81.3,1
172,53,South,84691,172,10.29,8,51.86,377.84,0
173,30,North,94303,1220,14.51,8,179.63,220.04,0
174,49,West,90839,772,3.55,5,102.83,272.75,0
175,24,North,79063,1469,18.45,6,42.58,386.34,0
176,68,South,35492,2623,13.05,0,119.99,170.49,1
177,39,East,61357,1423,5.78,4,140.05,374.45,0
178,45,East,62314,386,2.9,2,76.85,221.15,0
179,19,East,78697,2008,3.42,9,166.06,188.59,0
180,59,North,89567,311,15.76,9,143.86,166.52,0
181,62,North,77006,500,11.97,5,140.56,482.47,0
182,23,East,90011,754,7.92,3,101.54,385.99,0
183,45,East,40686,597,6.99,8,193.53,10.1,1
184,45,West,67449,2995,17.19,6,76.61,478.71,0
185,61,West,91606,1451,17.56,3,128.21,387.72,0
186,61,West,48891,197,11.83,5,82.54,74.59,0
187,37,South,82115,2513,10.73,1,156.62,38.17,1
188,47,South,90719,562,16.42,2,38.12,154.1,0
189,28,West,66723,2175,15.11,6,37.8,312.09,0
190,45,South,59877,2860,8.31,3,167.85,308.27,0
191,42,North,44026,372,2.11,9,103.83,137.93,0
192,56,West,50422,2973,15.49,6,88,222.84,0
193,50,West,39244,1250,3.79,8,133.28,105.95,0
194,18,South,63481,2349,0.82,4,149.32,25.29,0
195,44,North,88031,2597,16.94,0,64.2,258.49,0
196,69,South,38521,1211,11.78,4,61.52,173.5,1
197,30,West,31746,118,17.89,5,192.89,271.44,0
198,58,West,98232,1716,9.95,1,130.24,473.25,1
199,20,North,42012,1581,18.57,7,96.32,71.69,0
200,56,North,53457,2458,7.4,1,166.25,0.98,1
201,23,West,59960,511,14.63,8,119.28,38.44,0
202,25,South,37910,841,6.37,1,71.08,231.35,0
203,44,East,32693,2771,0.52,2,65.15,353.47,1
204,26,West,45858,2879,7.91,7,97.47,290.38,0
205,54,North,58810,2782,14.89,5,176.18,247.45,0
206,50,East,50092,2645,3.43,0,40.45,176.98,0
207,68,North,78700,2391,10.34,3,67.15,154.99,1
208,59,South,88105,2837,4.64,4,181.84,188.14,0
209,61,West,60505,2724,1.96,2,50.69,305.82,0
210,41,South,58555,1503,12.54,0,137.04,83.88,0
211,32,West,47939,614,19.06,2,66.3,385.68,1
212,49,East,41825,306,6.56,8,133,287.63,0
213,49,South,54151,1047,11.82,1,95.13,134.58,1
214,41,North,30036,2541,19.1,0,47.29,250.58,0
215,58,South,69051,1928,13.18,6,129.02,481.39,0
216,69,South,90071,2865,13.63,6,146.12,10.25,0
217,66,North,59873,2098,3.99,4,145.65,99.76,0
218,66,South,66648,2349,10.11,1,138.3,224.19,0
219,69,South,56470,2267,7.66,0,115.04,319.22,0
220,29,East,95129,1772,9.68,4,118.31,106.11,0
221,56,East,38328,1930,16.12,9,138.06,465.7,0
222,19,East,36333,2536,9.48,3,147.34,321.29,0
223,20,North,76638,1660,1.73,8,141.33,438.72,0
224,66,North,41268,1947,18.16,4,129.78,164.66,1
225,54,East,47045,2381,11.12,9,56.49,414.48,0
226,66,South,70741,1756,18.53,1,65.8,189.11,0
227,34,North,72770,701,11.66,3,74.24,126.38,1
228,66,West,37887,1443,1.86,8,186.34,455.83,0
229,19,West,54918,811,11.28,7,159.1,46.11,1
230,19,East,65497,1081,11.73,2,123.99,471.44,0
231,45,North,91009,1303,4.68,7,72.85,229.26,0
232,40,West,41929,1491,9.69,1,48.85,496.31,0
233,54,East,91762,2223,9.46,2,182.79,269.8,0
234,49,West,58546,2796,12.65,4,181.75,378.74,0
235,50,West,67338,2797,5.56,9,48.82,3.54,0
236,18,West,64283,2643,11.84,9,165.53,248.33,1
237,36,East,76566,929,5.2,7,105.93,368.73,0
238,19,North,58013,2630,9.21,0,85.07,391.41,0
239,61,East,82132,2766,2.89,3,155.65,79.02,0
240,43,East,58084,649,1.23,0,134.44,209.49,1
241,49,East,51143,745,6.75,0,162.61,209.54,0
242,23,North,44179,1344,5.85,4,42.64,51.82,0
243,49,North,88726,2649,8.44,5,84.16,221.52,1
244,21,West,40222,945,19.26,0,84.28,403.55,1
245,28,East,89965,2200,10.68,5,86.06,150.09,0
246,34,West,94068,549,11.29,4,115.42,216.29,1
247,55,West,53949,2209,18.86,3,78.11,480.48,0
248,41,East,46116,143,18.46,9,105.55,15.85,1
249,22,East,81052,2967,17.74,4,92.52,295.76,0
250,69,West,81369,1681,2.41,7,155,371.72,1
251,51,East,78817,758,12.87,8,132.6,380.44,1
252,23,East,59655,827,16.26,1,141.12,357.97,0
253,39,North,87802,2999,16.79,5,65.8,363.23,0
254,28,South,77632,2194,11.77,2,85.34,29.51,0
255,65,East,44193,2967,0.84,1,33.6,267.07,0
256,33,North,60776,1147,19.49,0,48.42,391.48,0
257,50,North,73225,1780,9.71,3,75.06,47.03,1
258,26,South,90010,2236,8.18,7,41.13,6.02,0
259,23,North,95451,1297,8.2,2,132.45,407.28,0
260,33,North,78812,1242,8.77,4,199.68,356.15,0
261,46,South,48895,2882,5.22,9,47.14,206.1,0
262,20,West,95782,1791,6.88,4,169.61,470.2,0
263,37,East,51209,2325,19.71,4,50.2,383.3,0
264,53,North,91807,1955,7.68,8,143.89,483.93,1
265,36,North,53086,2047,10.77,7,139.34,464.66,1
266,43,East,57207,1465,17.04,7,183.46,240.65,1
267,20,South,50897,537,10.78,0,49.37,377.35,1
268,36,West,93083,1551,6.83,0,83.63,334.6,0
269,37,East,96957,525,10.71,1,45.43,405.72,0
270,49,West,37283,1067,2.72,7,99.26,393.84,0
271,24,North,30255,1504,3.04,9,184.97,76.62,0
272,69,East,45487,585,14.04,0,162.86,116.87,0
273,58,North,49346,1855,18.39,3,152.89,132.87,0
274,50,West,65050,2607,14.65,8,120.61,409.25,0
275,57,East,38744,1679,1.95,1,180.19,405.37,0
276,56,South,54756,2895,8.36,2,106.41,247.67,0
277,35,North,91596,1996,0.55,5,55.45,290.42,0
278,57,North,55146,150,10.47,9,172.39,413.46,0
279,18,East,85032,2456,4.27,2,77.54,156.3,0
280,28,North,72687,1157,17.43,3,39.12,25.09,1
281,45,East,76103,1759,2.53,8,51.43,241.3,0
282,42,North,51976,1712,0.53,8,133.54,456.86,0
283,67,East,92863,2027,9.3,9,133.2,395.23,0
284,40,West,30591,2782,3.53,4,74.23,183.31,1
285,48,West,36277,304,14.89,6,153.62,32.39,0
286,47,West,91860,2887,18.44,8,161.52,318.46,0
287,59,North,32260,1193,1.32,7,186.49,417.25,0
288,52,North,95883,632,8.21,6,129.44,332.47,0
289,24,East,54741,2255,19.94,7,162.5,212.54,0
290,33,South,67211,1364,14.79,4,158.03,61.68,1
291,43,South,71542,350,19.09,4,73.83,455.39,0
292,65,North,36869,234,3.7,4,82.74,137.98,0
293,69,North,94732,1714,4.82,0,111.34,112.14,0
294,66,North,49422,2836,3.52,5,33.24,407.99,0
295,19,West,65613,506,6.4,4,80.56,490.61,1
296,18,North,87016,201,14.63,7,110.56,330.08,1
297,65,East,90110,1484,3.72,7,48.37,312.41,0
298,29,North,64033,2840,10.72,1,51.47,159.72,0
299,22,East,75213,1651,5.75,5,108.75,10.21,1
300,54,South,91993,1731,16.67,9,154.26,95.9,0
301,49,West,42938,1416,0.63,9,171.74,292.22,0
302,26,West,32274,503,4.85,5,122.87,75.66,1
303,58,South,61815,913,12.3,2,110.71,441.92,0
304,52,West,48961,1729,2.39,0,95.33,94.07,0
305,36,West,50044,1126,9.59,6,62.8,261.05,0
306,65,West,51975,1120,9.01,9,54.92,256.01,1
307,33,West,44706,2324,17.12,4,164.62,301.97,0
308,20,North,35974,1380,12.7,9,109.05,163.72,0
309,37,East,51213,2624,12.97,4,164.35,436.77,1
310,41,North,31950,2545,19.06,7,149.69,222.15,1
311,50,North,40411,1619,19.66,4,62.96,350.08,0
312,41,West,76156,319,13.24,4,116.75,317.96,0
313,69,South,92744,2104,10.68,0,105.48,58.58,0
314,28,East,47771,272,12.35,1,102.06,311.32,0
315,66,West,99810,2883,7.96,4,122.24,275.35,0
316,25,West,65053,1513,19.76,6,196.95,449.3,1
317,53,West,82076,601,14.25,2,168.19,440.44,0
318,55,North,37045,1912,6.17,0,183.63,75.48,0
319,57,North,87623,2908,1.63,1,35.04,40.84,0
320,37,South,59714,2278,1.37,2,53.86,147.3,0
321,52,North,64386,897,4.5,8,44.41,493.31,0
322,65,North,38562,2946,5.04,7,74.75,10.79,1
323,42,South,85048,1029,8.59,3,105.12,336.45,0
324,52,West,42026,822,4.69,7,139.15,304.26,0
325,42,East,61589,2362,12.8,8,115.14,323.29,0
326,46,South,56844,1433,4.62,2,183.54,109.14,0
327,35,East,53447,1374,4.16,5,189.78,113.36,0
328,63,North,84708,587,9.69,7,57.8,215.32,0
329,35,North,93925,2057,17.83,9,175,47.93,0
330,19,West,81574,1317,9.63,6,111.89,37.31,0
331,52,East,48812,1564,8.57,8,107.07,44.18,0
332,33,West,85309,412,11.77,6,163.44,286.49,0
333,58,North,94230,178,5.52,0,45.83,198.87,0
334,53,West,71628,2327,7.39,8,180.02,146.81,0
335,50,East,70581,774,4.67,4,144.05,157.91,0
336,21,East,76628,1837,11.65,5,178.79,103.64,1
337,50,East,55105,113,14.1,1,199.06,205.75,0
338,31,West,99157,2393,13.64,1,118.06,101.53,0
339,38,East,62442,2145,5.47,3,45.85,349.02,0
340,65,East,32347,1137,15.7,3,58.31,61.97,0
341,37,West,77650,2246,5.49,4,85.02,474.12,1
342,25,West,47110,132,3.43,6,47.6,44.91,0
343,24,South,92170,1559,7.32,0,168.61,471.73,0
344,20,East,34923,356,12.16,9,80.47,416.65,0
345,34,South,81801,133,3.27,3,195.9,340.36,0
346,50,North,92771,2166,13.14,8,149.44,456.15,0
347,65,East,78135,1383,17.33,7,59.48,69.61,0
348,29,West,49199,2736,6.22,2,110.93,88.16,0
349,68,West,39066,1949,9.28,5,109.37,126.08,1
350,39,South,82136,2284,4.95,8,113.73,122.41,0
351,39,East,66575,458,7.54,7,121.07,155.42,0
352,63,North,76733,853,0.93,6,35.3,287.82,0
353,47,West,46991,1702,19.1,6,146.67,14.09,1
354,55,West,52553,503,8.61,0,112.82,191.14,0
355,55,East,30634,1325,15.88,4,164.46,123.19,0
356,62,West,42771,1499,3.28,6,168.61,303.31,0
357,68,East,48298,2397,16.34,1,69.19,492.58,0
358,25,East,65999,2593,17.27,5,38.23,258.83,0
359,44,North,89648,377,14.45,1,149.55,212.84,0
360,44,South,92668,211,18.11,2,196.22,184.12,0
361,51,East,99374,2086,3.76,0,105.93,392.47,1
362,38,East,97509,2893,9.79,2,74.13,35.99,0
363,47,South,74440,2835,12.59,6,56.63,479.89,0
364,50,West,61655,491,12.13,4,78.87,208.96,0
365,45,North,73039,1068,17.29,3,85.75,156.85,0
366,64,East,85255,2290,4.71,7,102.06,487.03,0
367,50,East,84989,1155,3.93,7,141.42,467.94,0
368,22,East,41244,2328,5.44,0,76.44,320.97,0
369,65,East,88595,2726,17.89,8,38.67,9.25,0
370,36,North,69551,2945,18.85,8,93.46,374.27,0
371,21,North,93230,368,11.61,1,175.46,167.78,0
372,52,East,58371,2700,10.28,1,114.72,194.14,0
373,66,East,99358,2780,12.31,7,194.01,79.37,0
374,34,North,58878,2129,12.52,5,115.62,261.73,0
375,61,East,66157,374,3.82,2,76.9,372.28,0
376,45,South,35914,842,13.89,1,62.86,136.51,0
377,47,East,57180,185,9.32,4,148.07,469.37,0
378,46,West,33688,503,10.59,7,121.18,97.37,1
379,63,North,39916,2339,1.09,5,132.68,33.13,1
380,23,North,86363,2145,15.41,2,158.37,322.18,1
381,52,West,57360,1154,16.79,8,153.4,424.66,0
382,58,East,67805,2254,12.58,7,37.37,476.57,0
383,54,East,43453,1994,15.1,9,166.44,383.59,0
384,41,West,52703,2769,10.69,5,120.56,99.83,0
385,46,West,89021,375,12.56,0,96.59,488.83,0
386,66,West,37410,750,8.19,1,121.38,459.72,0
387,63,East,78268,1721,15.94,3,134.12,81.58,0
388,48,South,64248,2703,9.63,1,55.42,279.39,0
389,52,South,61159,1205,13.76,2,100.96,277.76,1
390,50,North,72039,2013,12.62,7,87.05,221.27,0
391,69,East,77800,2714,14.2,8,89.57,492.14,0
392,38,North,70761,685,15.81,5,45.53,29.81,0
393,49,West,73663,228,10.5,3,57.17,313.6,1
394,40,East,70412,355,16.35,1,57.51,102.65,0
395,50,East,65367,330,10.2,6,93.45,263.67,0
396,20,South,35813,1260,19.15,9,182.06,389.87,0
397,35,North,89894,2502,15.18,6,65.02,123.36,0
398,42,North,81444,1747,3.84,9,100.75,196.68,0
399,59,South,64269,2293,16.68,8,82.97,475.38,1
400,48,North,91748,2147,11.26,4,163.86,380.74,0
401,20,East,71190,359,19.7,9,38.52,286.36,0
402,57,West,70318,2234,14.52,3,63.41,111,1
403,63,West,67018,942,2.15,9,65.81,212.65,0
404,41,East,69759,2071,8.2,5,198.8,387.03,0
405,67,North,46498,364,10.59,1,127.03,410.27,0
406,49,West,55989,491,16.86,1,53.62,122.3,1
407,64,West,55568,2379,14.72,8,76.27,331.03,0
408,39,North,96577,1000,7.7,6,58.53,47.5,0
409,40,East,60099,687,13.24,6,51.18,11.61,0
410,19,North,70639,2594,11.75,4,165.52,274.34,1
411,44,West,53482,1252,2.96,6,114.28,112.19,0
412,59,West,99212,1394,5.08,8,137.31,39.46,0
413,19,North,85261,565,7.15,9,86.31,364.91,0
414,43,West,60048,1293,4.31,4,124.13,248.99,0
415,34,East,33065,2275,3.43,8,73.79,398.14,1
416,57,West,32036,2072,1.63,0,82.37,331.97,0
417,50,South,65814,1149,17.53,2,140.88,364.9,1
418,26,West,89694,2720,6.13,6,55.56,153.68,0
419,60,North,46924,2658,6.16,3,134.93,131.64,0
420,65,South,90204,587,4.52,1,174.88,300.44,1
421,56,North,62844,2726,9.77,2,50.47,100.04,0
422,46,West,51518,1049,10.53,6,182.57,407.71,0
423,59,West,47059,505,4.56,7,43.51,261.46,1
424,43,West,53052,1149,12.37,8,89.31,113.49,0
425,52,West,99803,1206,14.6,5,133.79,312.58,0
426,67,North,38680,463,7.79,9,125.1,472.52,1
427,42,South,97021,1490,11.92,8,46.39,41.05,0
428,41,North,50043,1183,10.29,3,165.82,54.67,0
429,30,North,32419,650,4.31,4,195.44,421.92,0
430,24,North,86892,1758,14.74,0,60.81,54.8,0
431,53,South,47140,391,16.13,8,182.17,19.69,0
432,62,North,73484,2936,13.15,8,124.66,173.97,0
433,37,North,93869,2060,6.82,8,189.11,233.35,0
434,18,North,75210,2963,18.57,2,59.93,284.72,1
435,25,North,87600,1917,9.38,9,164.64,253.65,0
436,63,West,36487,290,5.68,9,40.16,456.59,0
437,33,West,90692,560,8.46,9,180.14,384.33,1
438,31,West,92112,2811,14,7,144.61,491.91,0
439,29,South,61110,2019,17,2,92.94,238.23,0
440,68,North,46360,2380,7.45,5,62.38,42.16,0
441,40,West,79410,2621,5.04,4,168.81,477.77,0
442,32,South,33017,2805,12.72,7,132.55,2.06,0
443,45,North,90124,370,18.46,2,91.27,388.05,0
444,51,North,80949,1257,4.07,0,105.45,15.64,0
445,19,North,88268,270,16.16,8,170.51,380.61,0
446,49,North,96320,1538,9.79,9,87.62,468.97,1
447,40,South,61127,127,16.09,8,45.24,194.63,1
448,39,East,33196,235,10.36,2,184.92,120.48,0
449,68,North,71300,2552,7.86,1,95.85,113.14,0
450,42,North,79714,987,14.09,3,89.23,245.86,0
451,39,West,61921,1628,18.06,7,64.75,85.44,0
452,39,North,34746,1364,6.74,5,182.56,336.46,1
453,66,South,98535,955,9.48,9,66.98,184.18,0
454,69,West,95350,2591,4.97,0,138.23,161.55,0
455,59,North,80345,2581,4.08,7,179.73,230.64,1
456,23,North,79220,1351,15.67,4,35.94,271.29,0
457,32,South,52063,608,4.41,5,170.89,70.97,0
458,60,South,75971,1426,15.97,4,99.8,353.88,0
459,54,East,33598,2181,8.87,9,141.86,441.47,1
460,50,West,40564,1125,19.9,4,93.31,138.99,0
461,25,North,79725,461,4.35,2,148.24,90.2,0
462,61,East,89940,1318,2.31,3,73.23,380.25,0
463,61,East,92085,705,1.97,4,33.73,91.77,1
464,22,North,47862,1963,16.79,1,191.12,20.63,0
465,56,East,40265,1431,9.04,5,32.78,309.62,0
466,21,North,39705,1770,0.56,1,170.1,119.88,0
467,23,South,85279,815,17.56,3,58.75,85.91,1
468,62,North,92471,2397,17.6,0,96.68,490.8,0
469,49,South,92979,2294,16.23,3,169.82,145.93,0
470,69,South,85828,447,5.34,6,65.01,451.72,0
471,47,West,76104,1377,7.77,7,177.17,89.11,0
472,64,North,70934,498,15.03,1,114.62,409.49,0
473,52,South,36050,1457,10.04,2,92.25,251.01,0
474,57,South,73952,1299,3.5,0,142.61,39.3,1
475,69,East,38484,2272,5.23,6,88.04,366.8,0
476,33,East,92648,2910,19.47,3,89.04,446.04,0
477,30,East,89945,2545,3.44,9,154.7,81.51,1
478,67,West,83678,2278,14.66,7,82.67,362.8,1
479,59,West,61323,1685,9.82,4,64.13,222.53,0
480,47,South,65361,2752,15.1,8,167.3,376.94,0
481,36,East,40315,921,13.39,5,166.91,356.96,0
482,34,West,77968,1001,9.06,9,114.59,13.3,0
483,36,West,56519,1044,7.4,1,119.53,89.36,0
484,45,West,39107,2879,15.21,0,148.33,235.51,0
485,43,South,85781,1969,6.8,0,116.58,466.8,1
486,54,North,33869,433,15.86,8,100.9,171.04,0
487,43,South,57370,1143,13.76,0,199.13,314.44,0
488,40,East,92695,2352,11.76,2,55.1,6.04,0
489,26,South,90422,454,7.69,1,130.76,355.56,0
490,29,South,37971,1296,4.5,3,180.6,301.53,0
491,18,West,55651,1312,14.35,0,146.83,357.7,0
492,18,South,86974,923,2.28,0,179.76,452.33,0
493,64,West,53446,1125,19.43,3,87.18,73.25,0
494,51,South,68108,1996,19.59,3,76.24,130.79,1
495,49,South,33823,267,3.04,6,174.72,497.89,0
496,65,South,43454,2515,2.53,7,97,78.14,1
497,42,West,33932,635,8.55,7,150.65,360.31,0
498,57,North,40220,2048,19.29,7,55.12,362.54,1
499,62,North,97965,2727,8.31,8,158.49,341.5,0
500,18,West,58208,1719,7.59,0,123.33,113.72,1
501,33,North,40510,1049,14.22,8,75.66,107.57,0
502,56,East,74045,306,3.99,9,114.07,333.17,0
503,22,East,40537,643,7.58,7,148.48,93.13,0
